ISO_Code,Continent,Country_Name,Year,Infant_Deaths,Total_Population,Number_Births,Life_Expectancy,Infant_Mortality_Rate,Population_Growth,GDP_Per_Capita_GR,GDP_Per_Captia,Covid_Cases,% Population using Basic Saniation,Pre_Covid
COD,Africa,Democratic Republic of the Congo,2020,225011,92853164.5,3929870,59.7392,5.73%,3.28%,-3.07%,22933.49959,17658,15.38867157,N
HKG,Asia,"China, Hong Kong Special Administrative Region",2016,#N/A,7435927,77794,84.539,#N/A,None,N/A,8094.363367,None,96.55689807,Y
HKG,Asia,"China, Hong Kong Special Administrative Region",2017,#N/A,7461518.5,71585,84.8988,#N/A,0.34%,8.93%,8816.986905,None,96.54371705,Y
HKG,Asia,"China, Hong Kong Special Administrative Region",2018,#N/A,7481555,66754,85.2456,#N/A,0.27%,12.34%,9905.342004,None,96.53053603,Y
HKG,Asia,"China, Hong Kong Special Administrative Region",2019,#N/A,7496121.5,62565,85.2735,#N/A,0.19%,2.41%,10143.8382,None,96.51735501,Y
ETH,Africa,Ethiopia,2020,126555,117190911,3841565,65.3705,3.29%,2.69%,-0.09%,11483.59931,124264,8.910277929,N
MAC,Asia,"China, Macao Special Administrative Region",2016,#N/A,626688.5,7120,84.2311,#N/A,None,N/A,8094.363367,None,100,Y
MAC,Asia,"China, Macao Special Administrative Region",2017,#N/A,638609,6903,84.5627,#N/A,1.90%,8.93%,8816.986905,None,100,Y
MAC,Asia,"China, Macao Special Administrative Region",2018,#N/A,650991,6867,84.9285,#N/A,1.94%,12.34%,9905.342004,None,100,Y
MAC,Asia,"China, Macao Special Administrative Region",2019,#N/A,663652.5,6784,84.9779,#N/A,1.94%,2.41%,10143.8382,None,100,Y
IDN,Asia,Indonesia,2020,93233,271857970.5,4526200,68.8077,2.06%,0.84%,-6.40%,3870.55762,743198,86.462642,N
COL,South America,Colombia,2016,9575,47625955.5,730565,76.4713,1.31%,None,N/A,8094.363367,None,89.96492076,Y
COL,South America,Colombia,2017,9251,48351670.5,726008,76.6456,1.27%,1.52%,8.93%,8816.986905,None,90.8964834,Y
COL,South America,Colombia,2018,8925,49276961.5,727649,76.7479,1.23%,1.91%,12.34%,9905.342004,None,91.82623874,Y
COL,South America,Colombia,2019,8592,50187406.5,733940,76.7523,1.17%,1.85%,2.41%,10143.8382,None,92.75423558,Y
CHN,Asia,China,2020,89463,1424929781,12243398,78.0766,0.73%,0.22%,2.61%,10408.66976,93679,92.37617808,N
COM,Africa,Comoros,2016,1367,746232,23717,63.2368,5.76%,None,N/A,8094.363367,None,35.83489236,Y
COM,Africa,Comoros,2017,1341,761664,23911,63.6254,5.61%,2.07%,8.93%,8816.986905,None,35.85662544,Y
COM,Africa,Comoros,2018,1314,776313.5,24003,63.9117,5.47%,1.92%,12.34%,9905.342004,None,35.88046261,Y
COM,Africa,Comoros,2019,1286,790986,24092,64.0684,5.34%,1.89%,2.41%,10143.8382,None,35.90667418,Y
TZA,Africa,United Republic of Tanzania,2020,73605,61704518,2262300,66.4077,3.25%,3.06%,2.47%,3751.740723,509,31.7607758,N
COG,Africa,Congo,2016,6135,5186823.5,175075,63.5765,3.50%,None,N/A,8094.363367,None,19.54805244,Y
COG,Africa,Congo,2017,6026,5312339.5,175642,63.76,3.43%,2.42%,8.93%,8816.986905,None,20.17287895,Y
COG,Africa,Congo,2018,5935,5441062,176098,64.0531,3.37%,2.42%,12.34%,9905.342004,None,20.26857109,Y
COG,Africa,Congo,2019,6201,5570732.5,176563,62.7467,3.51%,2.38%,2.41%,10143.8382,None,20.36426415,Y
BGD,Asia,Bangladesh,2020,70272,167420950.5,3022909,71.9678,2.32%,1.15%,-27.18%,24665.09683,513510,54.16469553,N
COK,Oceania,Cook Islands,2016,2,17546,306,74.3222,0.65%,None,N/A,3131.017598,None,#N/A,Y
COK,Oceania,Cook Islands,2017,2,17395.5,298,74.4047,0.67%,-0.86%,5.16%,3292.633503,None,#N/A,Y
COK,Oceania,Cook Islands,2018,2,17252.5,291,74.4957,0.69%,-0.82%,9.83%,3616.460666,None,#N/A,Y
COK,Oceania,Cook Islands,2019,2,17110,285,74.5791,0.70%,-0.83%,-0.35%,3603.775241,None,#N/A,Y
AGO,Africa,Angola,2020,62212,33428486,1312910,62.2612,4.74%,3.32%,-8.51%,37416.69772,17553,51.66032915,N
CRI,North America,Costa Rica,2016,541,4945205,69914,79.4592,0.77%,None,N/A,12011.22275,None,97.23182641,Y
CRI,North America,Costa Rica,2017,533,4993841.5,69512,79.3769,0.77%,0.98%,1.78%,12225.57449,None,97.41272848,Y
CRI,North America,Costa Rica,2018,519,5040734,68327,79.4835,0.76%,0.94%,2.13%,12485.4239,None,97.58654255,Y
CRI,North America,Costa Rica,2019,496,5084531.5,65282,79.4272,0.76%,0.87%,2.22%,12762.13801,None,97.75378868,Y
MOZ,Africa,Mozambique,2020,59730,31178239,1152789,61.1722,5.18%,2.95%,-6.18%,20182.5845,18642,37.20486798,N
HRV,Europe,Croatia,2016,160,4223751,37675,78.2314,0.42%,None,N/A,78471.62814,None,96.51257245,Y
HRV,Europe,Croatia,2017,154,4192466.5,37027,78.0832,0.42%,-0.74%,3.88%,81513.16283,None,96.53844301,Y
HRV,Europe,Croatia,2018,149,4160485,37421,78.337,0.40%,-0.76%,5.73%,86180.53969,None,96.54691297,Y
HRV,Europe,Croatia,2019,144,4129751.5,36700,78.7376,0.39%,-0.74%,6.19%,91513.04267,None,96.5558337,Y
SDN,Africa,Sudan,2020,54481,44440486,1521188,65.6136,3.58%,2.80%,-1.75%,25489.50023,25500,36.89208291,N
CUB,North America,Cuba,2016,536,11342011.5,117455,77.643,0.46%,None,N/A,78471.62814,None,90.5055757,Y
CUB,North America,Cuba,2017,515,11336405,115495,77.5286,0.45%,-0.05%,3.88%,81513.16283,None,90.71869884,Y
CUB,North America,Cuba,2018,494,11328244,117309,77.4962,0.42%,-0.07%,5.73%,86180.53969,None,90.93165485,Y
CUB,North America,Cuba,2019,475,11316696.5,110404,77.6112,0.43%,-0.10%,6.19%,91513.04267,None,91.14421779,Y
AFG,Asia,Afghanistan,2020,54151,38972230.5,1402265,62.5751,3.86%,3.18%,4.57%,516.7478708,52330,50.49964687,N
CUW,North America,Cura??ao,2016,#N/A,170739.5,1835,75.9675,#N/A,None,N/A,78471.62814,None,98.95027512,Y
CUW,North America,Cura??ao,2017,#N/A,171524.5,1662,76.1449,#N/A,0.46%,3.88%,81513.16283,None,98.95027512,Y
CUW,North America,Cura??ao,2018,#N/A,184722,1809,76.1421,#N/A,7.69%,5.73%,86180.53969,None,0,Y
CUW,North America,Cura??ao,2019,#N/A,193106.5,2304,76.1,#N/A,4.54%,6.19%,91513.04267,None,0,Y
CIV,Africa,C??te d'Ivoire,2020,52807,26811790.5,917205,59.0318,5.76%,2.54%,-12.40%,6348.832318,22490,34.5659625,N
CYP,Europe,Cyprus,2016,30,1197881.5,13652,81.0563,0.22%,None,N/A,24605.91992,None,99.43985969,Y
CYP,Europe,Cyprus,2017,30,1208523,13257,81.328,0.23%,0.89%,8.14%,26608.875,None,99.41780561,Y
CYP,Europe,Cyprus,2018,29,1218831,13189,81.382,0.22%,0.85%,10.24%,29334.11133,None,99.39585892,Y
CYP,Europe,Cyprus,2019,28,1228836.5,13237,81.397,0.21%,0.82%,-0.44%,29206.07617,None,99.3958161,Y
UGA,Africa,Uganda,2020,52585,44404611,1653818,62.8513,3.18%,3.39%,2.94%,822.0276815,35216,19.78963715,N
CZE,Europe,Czechia,2016,284,10527590.5,111541,78.9967,0.25%,None,N/A,18575.23203,None,99.13478358,Y
CZE,Europe,Czechia,2017,283,10531305,112677,78.9557,0.25%,0.04%,11.10%,20636.19995,None,99.13410378,Y
CZE,Europe,Czechia,2018,277,10534593,111903,79.0039,0.25%,0.03%,13.49%,23419.73561,None,99.13391769,Y
CZE,Europe,Czechia,2019,267,10536871,109738,79.2433,0.24%,0.02%,1.03%,23660.14881,None,99.13371501,Y
NER,Africa,Niger,2020,49022,24333638.5,1109922,61.4506,4.42%,3.80%,-6.18%,20182.5845,3323,14.75130566,N
CIV,Africa,C??te d'Ivoire,2016,54568,24213621.5,871185,58.0599,6.26%,None,N/A,6982.917492,None,31.44525753,Y
CIV,Africa,C??te d'Ivoire,2017,54308,24848015.5,891616,58.4805,6.09%,2.62%,4.48%,7296.092142,None,32.24294843,Y
CIV,Africa,C??te d'Ivoire,2018,53931,25493988.5,892790,58.8494,6.04%,2.60%,2.85%,7503.878588,None,33.05107549,Y
CIV,Africa,C??te d'Ivoire,2019,53248,26147551,903861,59.3185,5.89%,2.56%,-3.42%,7247.429476,None,33.86906503,Y
MLI,Africa,Mali,2020,47474,21224040,891864,58.6331,5.32%,3.19%,-6.18%,20182.5845,7090,45.39420987,N
PRK,Asia,Democratic People's Republic of Korea,2016,5290,25389611,343423,72.8045,1.54%,None,N/A,18575.23203,None,82.40860647,Y
PRK,Asia,Democratic People's Republic of Korea,2017,5070,25516321.5,344850,72.9778,1.47%,0.50%,11.10%,20636.19995,None,83.15840999,Y
PRK,Asia,Democratic People's Republic of Korea,2018,4842,25638149.5,345826,73.0309,1.40%,0.48%,13.49%,23419.73561,None,83.91557599,Y
PRK,Asia,Democratic People's Republic of Korea,2019,4641,25755440.5,347400,73.1985,1.34%,0.46%,1.03%,23660.14881,None,84.61949255,Y
SOM,Africa,Somalia,2020,46853,16537015.5,728149,55.9666,6.43%,3.48%,4.50%,438.2551656,4714,39.30661638,N
COD,Africa,Democratic Republic of the Congo,2016,232148,81430976.5,3532382,59.0664,6.57%,None,N/A,18575.23203,None,16.98342625,Y
COD,Africa,Democratic Republic of the Congo,2017,230172,84283273,3646584,59.4114,6.31%,3.50%,11.10%,20636.19995,None,16.57227169,Y
COD,Africa,Democratic Republic of the Congo,2018,228461,87087355,3747745,59.9417,6.10%,3.33%,13.49%,23419.73561,None,16.16946438,Y
COD,Africa,Democratic Republic of the Congo,2019,226753,89906890.5,3839325,60.2757,5.91%,3.24%,1.03%,23660.14881,None,15.77493074,Y
KEN,Africa,Kenya,2020,46430,51985780,1455947,62.6755,3.19%,2.03%,-5.82%,1547.511388,96458,32.69894486,N
DNK,Europe,Denmark,2016,208,5706857,60597,80.8803,0.34%,None,N/A,18575.23203,None,99.59722928,Y
DNK,Europe,Denmark,2017,207,5737284.5,60310,81.1112,0.34%,0.53%,11.10%,20636.19995,None,99.59723094,Y
DNK,Europe,Denmark,2018,204,5766686,60478,80.99,0.34%,0.51%,13.49%,23419.73561,None,99.59722729,Y
DNK,Europe,Denmark,2019,201,5795878,60455,81.4337,0.33%,0.51%,1.03%,23660.14881,None,99.59722892,Y
PHL,Asia,Philippines,2020,45545,112190977.5,2473218,72.1191,1.84%,1.64%,-6.18%,20182.5845,474064,82.25604781,N
DJI,Africa,Djibouti,2016,1100,1023261.5,24044,62.1908,4.57%,None,N/A,2803.689125,None,62.72079263,Y
DJI,Africa,Djibouti,2017,1062,1040232.5,24196,62.7966,4.39%,1.66%,4.37%,2926.153304,None,64.02454328,Y
DJI,Africa,Djibouti,2018,1025,1057198,24280,63.0381,4.22%,1.63%,3.83%,3038.269738,None,65.33030773,Y
DJI,Africa,Djibouti,2019,989,1073994,24417,63.0854,4.05%,1.59%,4.43%,3172.750685,None,66.63823909,Y
TCD,Africa,Chad,2020,44764,16644701.5,729836,52.7774,6.13%,3.21%,-0.91%,16197.29935,2113,12.06370114,N
DMA,North America,Dominica,2016,27,70075,921,70.1284,2.93%,None,N/A,3946.452447,None,80.36642488,Y
DMA,North America,Dominica,2017,28,70403,923,67.5253,3.03%,0.47%,4.14%,4109.698217,None,80.36642488,Y
DMA,North America,Dominica,2018,29,70822.5,933,73.59,3.11%,0.60%,0.79%,4142.018558,None,0,Y
DMA,North America,Dominica,2019,30,71428,946,73.5588,3.17%,0.85%,-3.68%,3989.668276,None,0,Y
CMR,Africa,Cameroon,2020,43599,26491086.5,940891,60.8328,4.63%,2.75%,-12.40%,6348.832318,26277,44.63112443,N
DOM,North America,Dominican Republic,2016,5989,10527591.5,213572,72.9867,2.80%,None,N/A,3946.452447,None,85.34020018,Y
DOM,North America,Dominican Republic,2017,5962,10647244,213169,73.0629,2.80%,1.14%,4.14%,4109.698217,None,85.80633778,Y
DOM,North America,Dominican Republic,2018,5915,10765530.5,213047,73.2323,2.78%,1.11%,0.79%,4142.018558,None,86.26797816,Y
DOM,North America,Dominican Republic,2019,5822,10881882.5,210196,73.5767,2.77%,1.08%,-3.68%,3989.668276,None,86.72522397,Y
EGY,Africa,Egypt,2020,42651,107465134,2477081,70.9905,1.72%,1.75%,-0.09%,11483.59931,138062,97.32547363,N
ECU,South America,Ecuador,2016,4246,16439585,299318,76.7634,1.42%,None,N/A,9867.865824,None,87.64436728,Y
ECU,South America,Ecuador,2017,4128,16696944,300031,76.9725,1.38%,1.57%,6.07%,10466.42427,None,88.7353553,Y
ECU,South America,Ecuador,2018,4012,17015671.5,299106,77.0938,1.34%,1.91%,8.19%,11324.00488,None,89.66716322,Y
ECU,South America,Ecuador,2019,3886,17343740.5,300075,77.2971,1.30%,1.93%,1.50%,11494.09153,None,90.59721885,Y
BFA,Africa,Burkina Faso,2020,40241,21522626,776842,59.7306,5.18%,2.73%,-12.40%,6348.832318,6707,21.6643726,N
EGY,Africa,Egypt,2016,49616,99784029.5,2584116,70.8435,1.92%,None,N/A,9867.865824,None,96.10856641,Y
EGY,Africa,Egypt,2017,47930,101789385.5,2568416,71.3019,1.87%,2.01%,6.07%,10466.42427,None,96.41046078,Y
EGY,Africa,Egypt,2018,46141,103740765.5,2548639,71.3669,1.81%,1.92%,8.19%,11324.00488,None,96.71394067,Y
EGY,Africa,Egypt,2019,44335,105618671,2489364,71.3575,1.78%,1.81%,1.50%,11494.09153,None,97.01897183,Y
YEM,Asia,Yemen,2020,39598,32284045.5,1010361,64.6501,3.92%,2.34%,-14.63%,5655.867654,2099,54.11663604,N
SLV,North America,El Salvador,2016,1513,6250510,110186,72.0248,1.37%,None,N/A,9867.865824,None,82.99726197,Y
SLV,North America,El Salvador,2017,1451,6266654.5,106787,72.3108,1.36%,0.26%,6.07%,10466.42427,None,82.8941281,Y
SLV,North America,El Salvador,2018,1394,6276342.5,104224,72.5546,1.34%,0.15%,8.19%,11324.00488,None,82.78125746,Y
SLV,North America,El Salvador,2019,1338,6280217,103547,72.5586,1.29%,0.06%,1.50%,11494.09153,None,82.6592314,Y
BRA,South America,Brazil,2020,37657,213196303.5,2787294,74.0089,1.35%,0.67%,-23.22%,6814.875632,7681032,90.07847103,N
GNQ,Africa,Equatorial Guinea,2016,2671,1398926.5,47821,60.4786,5.59%,None,N/A,9867.865824,None,66.24854325,Y
GNQ,Africa,Equatorial Guinea,2017,2650,1450694,48336,60.8205,5.48%,3.70%,6.07%,10466.42427,None,66.31278955,Y
GNQ,Africa,Equatorial Guinea,2018,2631,1502091.5,48816,61.1914,5.39%,3.54%,8.19%,11324.00488,None,0,Y
GNQ,Africa,Equatorial Guinea,2019,2614,1553030.5,49269,61.6444,5.31%,3.39%,1.50%,11494.09153,None,0,Y
MMR,Asia,Myanmar,2020,32750,53423198,928106,66.797,3.53%,0.72%,-6.18%,20182.5845,124630,73.63687714,N
ERI,Africa,Eritrea,2016,3532,3365287.5,101487,66.2893,3.48%,None,N/A,9867.865824,None,11.93996659,Y
ERI,Africa,Eritrea,2017,3406,3396933,100510,66.5773,3.39%,0.94%,6.07%,10466.42427,None,0,Y
ERI,Africa,Eritrea,2018,3290,3445374.5,100599,67.0675,3.27%,1.43%,8.19%,11324.00488,None,0,Y
ERI,Africa,Eritrea,2019,3184,3498818,101706,67.2996,3.13%,1.55%,1.50%,11494.09153,None,0,Y
MDG,Africa,Madagascar,2020,31855,28225176.5,884817,65.182,3.60%,2.51%,-6.18%,20182.5845,17714,12.31140011,N
EST,Europe,Estonia,2016,31,1315925.5,14023,77.8201,0.22%,None,N/A,9867.865824,None,99.13973926,Y
EST,Europe,Estonia,2017,28,1317548.5,13813,77.976,0.20%,0.12%,6.07%,10466.42427,None,99.14655389,Y
EST,Europe,Estonia,2018,26,1322147.5,14282,78.1395,0.18%,0.35%,8.19%,11324.00488,None,99.14296842,Y
EST,Europe,Estonia,2019,24,1327038.5,14158,78.6693,0.17%,0.37%,1.50%,11494.09153,None,99.14237975,Y
ZAF,Africa,South Africa,2020,30153,58801926.5,1194619,65.2522,2.52%,1.23%,4.23%,7730.691746,1057161,78.47461071,N
SWZ,Africa,Eswatini,2016,1288,1142524,31104,56.6591,4.14%,None,N/A,9867.865824,None,61.5908393,Y
SWZ,Africa,Eswatini,2017,1306,1151390.5,30535,57.8951,4.28%,0.78%,6.07%,10466.42427,None,62.49857785,Y
SWZ,Africa,Eswatini,2018,1177,1160427.5,29969,59.4114,3.93%,0.78%,8.19%,11324.00488,None,63.40990744,Y
SWZ,Africa,Eswatini,2019,1117,1169613,29498,60.5492,3.79%,0.79%,1.50%,11494.09153,None,64.32418954,Y
GHA,Africa,Ghana,2020,29091,32180401.5,902298,64.114,3.22%,2.09%,-1.24%,66320.6792,54771,23.70247451,N
ETH,Africa,Ethiopia,2016,140339,105293228.5,3506866,64.3919,4.00%,None,N/A,9867.865824,None,7.77945876,Y
ETH,Africa,Ethiopia,2017,136197,108197949.5,3576536,64.8383,3.81%,2.76%,6.07%,10466.42427,None,8.066773108,Y
ETH,Africa,Ethiopia,2018,132502,111129438,3667649,65.4117,3.61%,2.71%,8.19%,11324.00488,None,8.350931686,Y
ETH,Africa,Ethiopia,2019,129345,114120593.5,3781463,65.8377,3.42%,2.69%,1.50%,11494.09153,None,8.632097142,Y
GIN,Africa,Guinea,2020,28456,13205152.5,461563,59.3273,6.17%,2.54%,-1.24%,66320.6792,13722,29.77614039,N
FLK,South America,Falkland Islands (Malvinas),2016,#N/A,3508,40,78.4314,#N/A,None,N/A,31186.51062,None,#N/A,Y
FLK,South America,Falkland Islands (Malvinas),2017,#N/A,3598,42,78.535,#N/A,2.57%,6.12%,33094.40835,None,#N/A,Y
FLK,South America,Falkland Islands (Malvinas),2018,#N/A,3655.5,42,78.5184,#N/A,1.60%,8.03%,35753.36685,None,#N/A,Y
FLK,South America,Falkland Islands (Malvinas),2019,#N/A,3710,42,78.6576,#N/A,1.49%,-1.86%,35089.28279,None,#N/A,Y
ZMB,Africa,Zambia,2020,26776,18927715,661531,62.3803,4.05%,2.98%,-24.51%,985.132436,20725,31.89963255,N
FRO,Europe,Faroe Islands,2016,#N/A,49500,676,80.1813,#N/A,None,N/A,31186.51062,None,0,Y
FRO,Europe,Faroe Islands,2017,#N/A,50230.5,727,78.0089,#N/A,1.48%,6.12%,33094.40835,None,0,Y
FRO,Europe,Faroe Islands,2018,#N/A,50955,684,78.3999,#N/A,1.44%,8.03%,35753.36685,None,0,Y
FRO,Europe,Faroe Islands,2019,#N/A,51681,781,78.4228,#N/A,1.42%,-1.86%,35089.28279,None,0,Y
VNM,Asia,VietNam,2020,26244,96648684.5,1488374,75.3779,1.76%,0.91%,2.95%,3526.274579,1465,89.24647713,N
FJI,Oceania,Fiji,2016,402,918371,19447,67.2395,2.07%,None,N/A,31186.51062,None,97.3429987,Y
FJI,Oceania,Fiji,2017,409,919018.5,19002,67.7904,2.15%,0.07%,6.12%,33094.40835,None,98.43474132,Y
FJI,Oceania,Fiji,2018,416,918996,18668,67.8096,2.23%,0.00%,8.03%,35753.36685,None,98.79865447,Y
FJI,Oceania,Fiji,2019,422,918464.5,18452,67.8933,2.29%,-0.06%,-1.86%,35089.28279,None,99.16221577,Y
MEX,North America,Mexico,2020,25833,125998301.5,1961267,70.1328,1.32%,0.73%,-6.18%,20182.5845,1426094,92.42406261,N
FIN,Europe,Finland,2016,108,5495219,52673,81.2915,0.21%,None,N/A,43814.02651,None,99.44793782,Y
FIN,Europe,Finland,2017,104,5508139.5,50169,81.4976,0.21%,0.24%,5.93%,46412.13648,None,99.44792986,Y
FIN,Europe,Finland,2018,100,5515461,47532,81.6266,0.21%,0.13%,7.71%,49988.91085,None,99.44792736,Y
FIN,Europe,Finland,2019,96,5521536.5,45790,81.8706,0.21%,0.11%,-2.72%,48628.64176,None,99.4479277,Y
SSD,Africa,South Sudan,2020,24376,10606227,310480,55.4801,7.85%,1.52%,4.23%,7730.691746,3558,15.84481734,N
FRA,Europe,France,2016,2435,63989318.5,735849,82.4372,0.33%,None,N/A,37062.53357,None,98.65080463,Y
FRA,Europe,France,2017,2449,64144086.5,721051,82.4732,0.34%,0.24%,4.64%,38781.04949,None,98.65001007,Y
FRA,Europe,France,2018,2465,64277807.5,710430,82.5909,0.35%,0.21%,7.25%,41592.7959,None,98.64921248,Y
FRA,Europe,France,2019,2478,64399758.5,701300,82.7315,0.35%,0.19%,-2.44%,40578.64429,None,98.64841485,Y
IRQ,Asia,Iraq,2020,24009,42556983.5,1179335,69.1228,2.04%,2.39%,0.50%,1175.586605,595291,99.96973686,N
GUF,South America,French Guiana,2016,#N/A,262813.5,6853,76.6841,#N/A,None,N/A,58224.80551,None,#N/A,Y
GUF,South America,French Guiana,2017,#N/A,269353,7072,76.7556,#N/A,2.49%,5.55%,61455.05261,None,#N/A,Y
GUF,South America,French Guiana,2018,#N/A,276646.5,7245,76.8248,#N/A,2.71%,6.70%,65572.60753,None,#N/A,Y
GUF,South America,French Guiana,2019,#N/A,284072.5,7378,76.9227,#N/A,2.68%,2.41%,67153.68194,None,#N/A,Y
BEN,Africa,Benin,2020,23913,12643123,469278,60.088,5.10%,2.87%,-19.98%,3987.796596,3251,16.96288434,N
PYF,Oceania,French Polynesia,2016,#N/A,293541.5,4270,82.4878,#N/A,None,N/A,58224.80551,None,97.17688689,Y
PYF,Oceania,French Polynesia,2017,#N/A,295450.5,4147,82.6178,#N/A,0.65%,5.55%,61455.05261,None,97.11905162,Y
PYF,Oceania,French Polynesia,2018,#N/A,297605.5,4106,82.7834,#N/A,0.73%,6.70%,65572.60753,None,97.06121635,Y
PYF,Oceania,French Polynesia,2019,#N/A,299717.5,3927,82.9961,#N/A,0.71%,2.41%,67153.68194,None,97.00338108,Y
USA,North America,United States,2020,21451,335942003.5,3670490,77.4144,0.58%,0.49%,2.47%,3751.740723,20221639,99.67961928,N
GAB,Africa,Gabon,2016,2216,2086205.5,63233,65.8025,3.50%,None,N/A,58224.80551,None,48.91162282,Y
GAB,Africa,Gabon,2017,2196,2140215.5,63535,66.1889,3.46%,2.59%,5.55%,61455.05261,None,49.20330829,Y
GAB,Africa,Gabon,2018,2150,2192011.5,63536,66.3064,3.38%,2.42%,6.70%,65572.60753,None,49.49442952,Y
GAB,Africa,Gabon,2019,2098,2242785.5,63561,66.6028,3.30%,2.32%,2.41%,67153.68194,None,49.78482573,Y
SLE,Africa,Sierra Leone,2020,20360,8233970.5,262770,59.7632,7.75%,2.33%,-4.63%,45515.7577,2611,16.50967615,N
GMB,Africa,Gambia,2016,3217,2317205.5,84854,63.0127,3.79%,None,N/A,58224.80551,None,46.39187189,Y
GMB,Africa,Gambia,2017,3192,2381181.5,85183,62.9955,3.75%,2.76%,5.55%,61455.05261,None,46.49651038,Y
GMB,Africa,Gambia,2018,3168,2444915.5,85459,63.04,3.71%,2.68%,6.70%,65572.60753,None,46.61215733,Y
GMB,Africa,Gambia,2019,3144,2508883.5,86087,63.7549,3.65%,2.62%,2.41%,67153.68194,None,46.73749884,Y
DZA,Africa,Algeria,2020,19465,43451666,974703,74.4528,2.00%,1.75%,-3.83%,1709.764129,99610,85.96546957,N
GEO,Asia,Georgia,2016,511,3771110,58419,73.5692,0.87%,None,N/A,58224.80551,None,86.43988751,Y
GEO,Asia,Georgia,2017,490,3771900,56081,73.5701,0.87%,0.02%,5.55%,61455.05261,None,86.25978022,Y
GEO,Asia,Georgia,2018,470,3772325,54333,73.3414,0.87%,0.01%,6.70%,65572.60753,None,86.08750022,Y
GEO,Asia,Georgia,2019,450,3770810.5,50739,73.4696,0.89%,-0.04%,2.41%,67153.68194,None,85.92302303,Y
MWI,Africa,Malawi,2020,18370,19377061.5,644116,63.7167,2.85%,2.70%,-6.18%,20182.5845,6583,26.55426445,N
DEU,Europe,Germany,2016,2449,82331422.5,784473,80.8471,0.31%,None,N/A,58224.80551,None,99.22492357,Y
DEU,Europe,Germany,2017,2476,82624374,783444,80.9442,0.32%,0.36%,5.55%,61455.05261,None,99.22503522,Y
DEU,Europe,Germany,2018,2485,82896695.5,779291,81.1717,0.32%,0.33%,6.70%,65572.60753,None,99.2251891,Y
DEU,Europe,Germany,2019,2473,83148141,771867,81.5584,0.32%,0.30%,2.41%,67153.68194,None,99.22538453,Y
BDI,Africa,Burundi,2020,17135,12220226.5,435303,61.5663,3.94%,2.91%,-12.40%,6348.832318,818,45.72751068,N
GHA,Africa,Ghana,2016,31939,29554302.5,901955,63.8902,3.54%,None,N/A,58224.80551,None,19.98289725,Y
GHA,Africa,Ghana,2017,31122,30222261.5,875587,64.0131,3.55%,2.26%,5.55%,61455.05261,None,20.89962298,Y
GHA,Africa,Ghana,2018,30403,30870640.5,896502,64.122,3.39%,2.15%,6.70%,65572.60753,None,21.82532757,Y
GHA,Africa,Ghana,2019,29739,31522290,901018,64.7401,3.30%,2.11%,2.41%,67153.68194,None,22.75965575,Y
IRN,Asia,Iran (Islamic Republic of),2020,16828,87290192.5,1243003,74.832,1.35%,0.84%,0.50%,1175.586605,1225142,90.26676799,N
GIB,Europe,Gibraltar,2016,#N/A,32565,388,81.702,#N/A,None,N/A,58224.80551,None,100,Y
GIB,Europe,Gibraltar,2017,#N/A,32602,375,81.8303,#N/A,0.11%,5.55%,61455.05261,None,100,Y
GIB,Europe,Gibraltar,2018,#N/A,32648,367,82.154,#N/A,0.14%,6.70%,65572.60753,None,100,Y
GIB,Europe,Gibraltar,2019,#N/A,32685.5,360,82.3633,#N/A,0.11%,2.41%,67153.68194,None,100,Y
ZWE,Africa,Zimbabwe,2020,16354,15669666,486393,61.1242,3.36%,2.05%,-7.76%,1214.50982,13867,35.19236284,N
GRC,Europe,Greece,2016,338,10749742,88820,81.1617,0.38%,None,N/A,58224.80551,None,98.97959915,Y
GRC,Europe,Greece,2017,322,10692228.5,85894,80.8501,0.37%,-0.54%,5.55%,61455.05261,None,98.98318854,Y
GRC,Europe,Greece,2018,306,10633270.5,83495,81.3907,0.37%,-0.55%,6.70%,65572.60753,None,98.98675045,Y
GRC,Europe,Greece,2019,291,10574024,81148,81.2489,0.36%,-0.56%,2.41%,67153.68194,None,98.99026295,Y
SEN,Africa,Senegal,2020,15990,16436120,543219,68.0064,2.94%,2.72%,1.88%,1462.808169,19140,56.77646012,N
GRL,North America,Greenland,2016,#N/A,55916,841,72.1911,#N/A,None,N/A,58224.80551,None,99.5972382,Y
GRL,North America,Greenland,2017,#N/A,55927.5,844,72.5693,#N/A,0.02%,5.55%,61455.05261,None,99.59723299,Y
GRL,North America,Greenland,2018,#N/A,55931,836,72.2036,#N/A,0.01%,6.70%,65572.60753,None,99.59723705,Y
GRL,North America,Greenland,2019,#N/A,55930.5,828,72.2124,#N/A,0.00%,2.41%,67153.68194,None,99.59723106,Y
NPL,Asia,Nepal,2020,13214,29348627.5,602598,69.2456,2.19%,1.79%,-6.18%,20182.5845,260593,76.61121355,N
GRD,North America,Grenada,2016,27,119966,2091,74.7622,1.29%,None,N/A,58224.80551,None,91.49389213,Y
GRD,North America,Grenada,2017,27,120920.5,2080,74.7652,1.30%,0.80%,5.55%,61455.05261,None,91.49389213,Y
GRD,North America,Grenada,2018,27,121838,2063,74.8076,1.31%,0.76%,6.70%,65572.60753,None,0,Y
GRD,North America,Grenada,2019,27,122723.5,2041,74.8632,1.32%,0.73%,2.41%,67153.68194,None,0,Y
